timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
42,3.1316,-0.5746,-0.0910,0.3510,-9.9359,-0.6714
61,4.3718,1.3695,19.3116,-0.5341,7.1826,-0.3662
81,1.6759,2.4565,-0.0479,-1.7395,-61.0521,-3.8452
100,-0.0575,0.4214,-0.0192,-7.6752,-11.3725,0.0000
119,-0.0144,0.1245,18.6987,-14.0228,-21.9069,-13.8702
138,0.6943,-0.2298,22.7976,-0.9155,-48.2432,-0.4425
157,-0.0910,-2.3511,-0.1437,-1.1749,67.9953,4.1351
176,-0.1101,-0.0670,19.6947,0.4730,11.4922,-0.1221
195,1.5802,0.6369,-0.1197,-1.4496,-7.3023,1.3428
214,-0.0144,-0.0096,20.6811,-2.2888,-1.5562,0.7324
233,-0.0479,2.8491,-0.0479,-17.7307,-49.7994,-1.5106
252,1.6568,0.3304,-0.0048,-3.3264,-8.6191,-0.9460
271,-0.1197,-0.0048,-0.1197,1.7395,35.9130,-2.7008
290,-0.0814,0.3352,21.4568,0.6561,-5.1475,-3.7079
309,2.4804,-0.0192,-0.1006,-0.7172,-9.3374,7.8125
328,4.9225,-0.0287,-0.1389,-1.4038,-6.2249,-1.6022
347,2.1739,-0.0287,-0.0048,-1.0529,-2.0351,-10.7269
366,-0.1532,-0.6129,22.1320,0.2441,43.8139,1.3428
386,4.6256,2.2314,19.1297,-0.4730,-2.7533,-1.7853
405,-0.0239,0.3448,-0.1197,-1.2360,-28.4910,-2.5330
424,2.2841,-1.6951,21.5957,8.8348,64.5237,4.8676
444,-0.1293,-0.0814,-0.0287,-2.0752,8.4994,-0.1678
463,0.3926,-1.2067,-0.1006,-0.9155,-0.4788,1.1444
482,-0.1532,-0.0192,-0.0479,-1.6479,-8.3797,4.3640
501,-0.1053,-0.0144,-0.1006,-15.4572,-13.5272,-10.2997
520,1.9345,-0.0622,23.0945,-1.1597,11.6119,-6.0577
539,-0.0287,0.0144,19.6660,-2.4719,-11.9710,-0.3357
558,-0.0048,1.2258,-0.0096,-1.7700,-49.0811,-1.1597
577,1.5467,-0.8140,23.4392,8.1787,98.6411,4.1351
597,-0.0575,-1.8387,19.9629,5.8289,-2.0351,0.2899
616,-0.1053,-0.1389,21.7777,0.1831,-8.6191,-2.7313
635,-0.0958,-0.1341,-0.1341,3.9215,104.0281,-1.9073
654,5.0230,-0.1149,18.7658,-0.4272,-10.1754,-10.6201
673,-0.0144,-0.0766,-0.0718,-1.5259,-6.5841,-11.2610
692,-0.1532,-0.1245,-0.1293,1.9226,-13.5272,-1.9073
711,2.8060,-0.7757,19.6420,-0.2899,7.3023,-1.5411
730,0.9290,-1.1732,-0.0575,5.6763,-3.9504,0.3204
749,-0.0670,-0.9050,20.9110,4.3945,70.5092,4.4556
769,4.3383,-0.7757,19.7091,-3.0670,0.2394,-1.8921
788,-0.1341,0.0239,-0.0958,-1.6632,-3.3519,-2.7924
807,3.9840,1.2450,-0.1006,-1.2207,33.1597,-0.2899
826,-0.0958,2.7629,-0.0239,-0.6866,-59.6156,-13.9465
845,-0.1101,-0.1341,-0.1245,-1.4648,-9.8162,-2.9907
864,-0.1484,-0.0862,19.6803,-0.6409,-11.7316,-2.7313
883,1.3647,-0.0383,21.9069,-0.8392,-4.6687,-1.8158
902,-0.0192,-0.2107,-0.0527,-0.2899,95.2892,-0.2136
921,4.6400,-0.0575,-0.1245,-1.6937,-20.4704,-1.0223
940,-0.0814,1.6424,-0.0144,-0.5646,-47.4052,-1.4801
959,2.6001,-2.0399,22.0937,9.2621,61.8901,1.5411
979,-0.0958,0.3448,-0.0958,-11.2152,-17.4777,-10.3607
998,0.6129,-0.7757,23.0801,3.9978,-24.5406,-2.7466
1017,-0.1293,-2.0446,-0.0718,12.1918,66.4391,-0.7935
1036,3.3902,0.0479,20.0012,-1.2207,-8.9783,-0.5493
1055,-0.0096,-0.0958,-0.0670,-1.1292,-2.6336,-0.6714
1074,-0.1245,-0.1437,19.4409,-1.5259,-10.2951,-6.3629
1093,3.3902,-0.0048,-0.0192,-0.4883,-56.7426,-1.0681
1112,1.6376,-0.3065,-0.0479,5.4169,-6.2249,1.6632
1131,2.8395,-0.0527,19.7282,5.3101,30.8852,-1.5411
1151,-0.1293,-0.5842,-0.0670,4.8981,-3.4716,-2.7161
1170,-0.1149,-0.5171,-0.1437,-0.9460,101.9930,5.0354
1189,-0.0096,-0.0862,18.4641,-1.5869,-0.1197,-0.1373
1208,1.8579,3.1316,21.8495,-1.3733,-9.2177,-11.3220
1227,-0.0622,-0.1053,-0.0622,-1.0986,-12.5696,-1.4191
1246,4.4053,-0.0622,-0.1532,-6.8665,-21.7872,-10.1929
1265,-0.0718,-0.0814,23.1040,1.7090,-30.2867,-0.9613
1284,1.5658,-0.0431,21.8495,12.1155,65.7208,7.8430
1304,3.4620,-0.0670,19.6756,-1.3580,10.6542,-1.8463
1323,0.1484,-1.1540,23.3195,-0.8240,1.7957,-1.1139
1342,-0.0958,0.7470,-0.0431,-2.1210,44.0533,1.1444
1361,4.6112,3.1173,-0.1101,-15.5029,-13.8864,-10.6964
1380,2.1548,-0.0814,-0.0479,-2.7924,-17.8368,-6.0730
1399,4.6304,0.7566,-0.0910,-11.0626,39.5043,-6.0272
1418,-0.1532,0.0000,20.8679,-3.6926,-3.9504,-0.4425
1437,-0.0479,-0.7901,23.6212,-0.7477,98.0426,-1.7395
1456,-0.1389,-0.0814,-0.1341,-1.5564,-9.6965,-0.6104
1475,1.5419,1.0391,-0.1053,-3.8605,-11.8513,-3.5706
1494,-0.0814,0.9768,-0.1101,-6.0577,-14.2455,-0.6409
1513,-0.0239,1.2977,19.0387,-0.4883,-23.3435,-13.7177
1532,1.2929,0.3879,-0.1532,-2.0142,-46.0884,-7.0496
1551,1.5371,-2.4421,-0.1293,-0.0458,-2.5139,-1.5717
1570,3.1029,-1.1923,19.6612,-0.7324,-3.7110,-2.3499
1589,1.0295,-0.1389,-0.1484,-1.9226,-9.0980,-0.1526
1608,3.8116,1.8627,19.7426,-7.1716,-11.3725,-2.8839
1627,-0.0910,2.8970,20.0586,-15.5029,-11.2527,-14.0991
1646,-0.1437,0.0862,23.6787,-0.0610,-4.7884,-3.2501
1665,3.1603,-0.0431,19.4218,1.2817,-9.8162,-0.2899
1684,-0.1293,-0.0766,-0.0622,-1.6479,-4.5490,-3.1433
1703,-0.0958,-0.0096,22.6827,-1.5869,93.1344,-0.9766
1722,-0.0383,1.6472,18.5263,-9.8877,9.5768,-0.3510
1741,2.2170,-0.0718,22.3762,-14.1449,-80.2058,-11.0321
1760,0.0000,-1.7957,-0.0096,4.0588,-8.4994,1.1597
1780,-0.0718,-0.0479,19.1057,-0.5951,-19.0339,-1.1139
1799,0.6704,-0.5938,-0.0910,1.8921,-9.0980,-3.7994
1818,-0.0287,-1.5083,-0.1053,-0.9766,75.4174,-0.4120
1837,-0.1149,-0.0862,19.9533,-2.8229,5.7461,-0.6409
1856,1.9872,-0.1341,22.8263,-6.2714,8.4994,-2.6398
1875,4.3383,-0.0527,19.6612,-10.7574,31.7232,-7.7362
1894,-0.0431,1.3120,21.4520,-10.1471,-0.9577,-0.7935
1913,1.0104,-1.3838,-0.1006,-0.4883,-0.4788,4.1656
1932,3.1173,-0.0192,-0.0144,4.0436,-8.1403,0.3815
1951,-0.0958,2.2936,21.8782,-10.1471,-8.8585,-0.7172
1970,3.4812,-0.0718,21.7968,-0.7019,67.0377,-0.3815
1989,-0.0814,0.9960,-0.1293,-1.4191,-29.4487,-14.0991
2008,-0.1484,-0.0479,23.0226,-3.8910,-49.7994,-7.2021
2027,1.8579,-0.1245,-0.0910,-1.8463,69.1924,4.2114
2046,-0.0383,-0.1724,-0.1389,-0.7782,4.3096,-0.0153
2065,-0.0910,-0.0048,-0.1341,-1.7090,32.5611,-0.9766
2084,-0.0192,1.6424,19.3691,-1.5869,-15.3229,-2.2278
2103,-0.1293,2.5522,20.8487,-19.1040,-9.0980,-14.3127
2122,0.9720,-0.8332,23.6308,-1.1292,65.8405,-0.8392
2141,2.8826,-2.3750,19.4313,5.4626,-7.1826,0.0305
2161,-0.0239,-0.0575,-0.0144,-3.7994,-3.5913,-0.6409
2180,1.2258,-1.2067,-0.0814,-1.6632,-14.2455,-1.7242
2199,3.3902,-0.0096,-0.0718,-0.3357,-0.7183,-0.6714
2218,1.6712,2.4517,21.7824,-7.6447,-50.1585,-6.1798
2237,3.1077,0.0383,-0.0575,-0.2441,-4.7884,-0.7019
2256,4.6783,0.1293,19.0291,-15.4877,-3.1125,-1.6022
2275,-0.0144,-0.0335,23.0466,-2.6550,-5.0278,-6.5460
2294,-0.1341,-1.8004,-0.0622,-1.4496,-0.7183,5.2948
2313,3.8068,0.9816,19.7570,-1.6632,7.5417,-0.5798
2333,-0.0096,-0.4788,23.0657,5.7983,8.2600,1.1597
2353,-0.1389,-0.0144,-0.0814,-1.5564,68.5939,-1.6785
2372,4.7405,-0.1006,-0.1293,-1.0223,-17.7171,-1.1444
