accX,accY,accZ,gyroX,gyroY,gyroZ,label
2.8012,0.3974,21.2509,-3.2501,14.2455,-3.6621,fault
-0.1006,0.4214,21.1887,-2.5024,7.422,-3.479,fault
-0.1197,0.3304,21.2797,-2.4872,7.7812,-3.54,fault
-0.0048,-0.1437,21.2031,-2.7313,11.133,-3.54,fault
-0.0192,0.431,-0.0862,-2.3041,7.3023,-3.4027,fault
-0.0814,0.34,-0.0958,-3.0975,12.3301,-3.3417,fault
-0.0814,-0.1437,21.2749,-3.1891,13.6469,-3.7994,fault
-0.0479,0.4118,-0.0192,-2.9297,10.7739,-3.4943,fault
-0.0287,0.4549,21.1552,-2.4567,11.8513,-3.5095,fault
-0.1245,-0.0096,-0.0958,-2.9144,7.6614,-3.3875,fault
2.7581,0.4405,-0.091,-2.6398,11.0133,-3.6469,fault
-0.0287,0.4262,-0.1245,-2.655,9.4571,-3.3722,fault
-0.0814,-0.1197,-0.1437,-2.8687,12.809,-3.7689,fault
-0.0622,0.4166,-0.091,-3.1433,13.6469,-3.7384,fault
-0.0814,0.3926,-0.0335,-3.0365,12.5696,-3.6011,fault
-0.091,0.3112,-0.1245,-2.5024,12.4498,-3.4332,fault
2.8156,0.34,-0.0383,-2.5635,11.2527,-3.5858,fault
-0.1149,-0.1197,-0.0048,-2.9602,12.4498,-3.6621,fault
-0.0527,0.4357,-0.0575,-2.8687,11.8513,-3.3112,fault
-0.0718,0.3639,21.2174,-2.3346,12.2104,-3.3264,fault
-0.0718,0.3879,-0.1484,-2.9449,-14.9638,-3.7537,fault
-0.0192,0.3735,-0.091,-3.0212,-15.2032,-3.4485,fault
2.7869,0.407,21.2126,-3.0518,13.5272,-3.6469,fault
-0.0575,0.4262,21.1887,-2.4719,13.0484,-3.8757,fault
2.5953,0.4022,21.2078,-2.6245,11.6119,-3.6163,fault
2.7964,0.4453,21.1935,-3.3722,13.0484,-3.7689,fault
-0.091,0.3831,-0.0144,-3.1738,13.5272,-3.5706,fault
-0.0766,0.3352,-0.1389,-2.4109,8.6191,-3.3569,fault
-0.1389,0.3543,-0.0622,-2.3346,9.4571,-3.4485,fault
2.7629,0.3735,21.2797,-2.9907,10.2951,-3.5248,fault
-0.0814,0.3304,21.1504,-2.8992,11.3725,-3.7079,fault
2.7677,0.4405,21.1695,-2.9602,11.971,-3.83,fault
-0.0958,-0.1484,-0.1053,-3.3569,-13.2878,-3.8147,fault
2.7725,0.407,21.2126,-2.8992,11.0133,-3.6316,fault
2.7629,-0.1532,21.16,-3.3264,10.5345,-3.7842,fault
2.557,-0.1437,21.2366,-2.5787,11.4922,-3.4637,fault
2.7773,0.3448,-0.1053,-2.9144,13.5272,-3.6774,fault
2.6001,-0.0527,-0.0192,-2.6093,9.3374,-3.5858,fault
-0.1006,0.3831,21.2701,-2.4414,12.0907,-3.83,fault
-0.067,0.4549,21.2509,-2.7771,12.3301,-3.8605,fault
2.7629,-0.1437,-0.1197,-2.9297,-15.3229,-3.6163,fault
2.7629,0.4262,-0.0814,-3.0212,12.0907,-3.7231,fault
-0.0239,-0.1389,21.1743,-2.7313,9.6965,-3.6469,fault
-0.0383,0.4166,21.2845,-2.5177,11.0133,-3.6011,fault
-0.0144,-0.1389,21.1647,-2.9297,9.4571,-3.8147,fault
2.5762,0.3591,-0.0144,-2.9907,14.6046,-3.3569,fault
2.7916,-0.0144,21.2845,-3.0365,8.8585,-3.6469,fault
-0.0287,0.316,-0.0479,-2.8229,8.6191,-3.4027,fault
-0.0862,0.3783,21.2366,-2.5635,9.5768,-3.479,fault
-0.0527,-0.091,-0.0718,-2.8076,10.1754,-3.4332,fault
-0.1101,0.3783,-0.0287,-3.3875,13.5272,-3.54,fault
2.5091,-0.1341,21.2174,-3.3264,14.9638,-0.1984,fault
2.7773,0.3783,-0.067,-3.0212,11.133,-3.6774,fault
2.8395,0.4118,21.2749,-2.5787,8.4994,-3.3569,fault
-0.0766,0.4118,21.1695,-2.6093,8.26,-3.8147,fault
2.806,0.3543,21.2701,-2.5482,8.1403,-3.5095,fault
2.5714,0.3543,21.1504,-2.5482,10.1754,-3.3569,fault
-0.0814,0.3879,-0.1293,-2.7466,9.8162,-3.5095,fault
-0.0958,-0.0287,-0.1484,-2.7161,10.4148,-3.6621,fault
2.7581,0.3735,21.2509,-2.9602,14.8441,-3.8452,fault
-0.0383,0.34,21.1743,-2.8839,8.0206,-3.6774,fault
2.7821,0.3639,21.2509,-2.5635,7.7812,-0.0305,fault
2.6001,0.4022,21.2078,-2.594,10.5345,-3.418,fault
-0.0718,0.4549,21.1935,-2.6855,9.6965,-3.5095,fault
-0.1006,0.3735,21.1935,-3.0365,10.8936,-3.7842,fault
-0.0766,0.3687,-0.1245,-3.1738,12.2104,-3.5858,fault
-0.0287,0.4405,-0.1437,-2.9602,10.4148,-3.3875,fault
-0.1149,0.3783,-0.1197,-2.7161,10.8936,-3.3417,fault
-0.1437,0.3735,-0.1053,-2.7313,12.2104,-3.479,fault
-0.0814,-0.0048,21.2605,-3.2043,10.6542,-3.5858,fault
-0.1149,-0.0622,21.2078,-2.7313,7.0629,-3.3875,fault
-0.0239,-0.1532,21.2414,-2.7924,11.7316,-3.6011,fault
-0.0479,0.407,-0.1341,-3.0823,13.5272,-3.6774,fault
-0.1053,0.3543,21.2366,-2.7618,14.9638,-3.7689,fault
2.8108,0.3687,-0.1149,-3.4637,14.7243,-3.5706,fault
-0.0431,-0.1245,21.2605,-2.9449,14.4849,-3.54,fault
-0.0718,0.4022,21.1791,-2.9602,12.809,-3.5706,fault
-0.1149,0.4405,21.4999,-2.6245,8.9783,-3.4027,fault
-0.0958,0.4549,-0.0096,-2.5177,10.8936,-3.5706,fault
2.8443,0.4022,-0.0287,-2.8381,12.4498,-3.4943,fault
-0.0862,0.3879,-0.0814,-2.9602,14.1258,-3.8147,fault
2.8012,0.3352,21.1791,-2.9755,13.7667,-3.7384,fault
-0.0718,-0.1389,21.2222,-2.3041,10.6542,-3.5858,fault
-0.0335,0.4357,21.2557,-2.8687,11.3725,-3.4943,fault
-0.0575,0.3591,21.2701,-3.1128,12.4498,-3.891,fault
2.7821,0.3879,21.2557,-2.9755,11.7316,-3.6316,fault
-0.067,-0.1101,21.2461,-3.1281,13.4075,-3.3722,fault
-0.0718,-0.1293,21.2509,-2.5482,13.0484,-3.7384,fault
-0.091,0.3448,-0.0862,-2.6245,11.3725,-3.4485,fault
-0.1006,0.4549,21.294,-3.0212,9.098,-3.4485,fault
-0.0096,-0.0048,-0.0192,-3.2043,14.3652,-3.54,fault
-0.0383,0.431,21.1743,-2.8992,12.6893,-3.891,fault
-0.0096,0.3926,-0.1341,-3.2196,11.3725,-3.83,fault
-0.0096,0.3735,21.1647,-3.1433,10.7739,-3.7384,fault
-0.0766,0.4501,21.2366,-2.8076,9.9359,-3.6163,fault
-0.0527,0.3687,-0.0192,-2.4567,8.6191,-3.5095,fault
-0.0527,0.4453,21.227,-2.9602,12.2104,-3.7231,fault
-0.0527,0.4549,-0.1532,-2.4414,10.7739,-3.479,fault
-0.0383,0.3496,21.4664,-2.4719,11.4922,-3.5248,fault
-0.0527,0.4501,21.2318,-2.8381,10.7739,-3.7537,fault
-0.0431,-0.1149,21.2605,-3.1128,12.2104,-3.4943,fault
-0.1101,0.3543,-0.0431,-2.6398,12.9287,-3.4485,fault
-0.1101,-0.1389,21.2845,-2.3041,7.3023,-3.54,fault
2.7821,0.4262,21.2222,-2.8229,11.4922,-3.4485,fault
-0.0958,0.3831,21.1647,-2.7161,10.1754,-3.7384,fault
2.5331,0.3735,21.227,-3.0518,11.133,-3.7079,fault
2.7581,0.34,21.2366,-3.2806,10.2951,-3.4485,fault
-0.0192,0.3304,21.2318,-2.594,11.133,-3.6316,fault
