timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
34072,2.8012,0.3974,21.2509,-3.2501,14.2455,-3.6621
34092,-0.1006,0.4214,21.1887,-2.5024,7.4220,-3.4790
34111,-0.1197,0.3304,21.2797,-2.4872,7.7812,-3.5400
34130,-0.0048,-0.1437,21.2031,-2.7313,11.1330,-3.5400
34149,-0.0192,0.4310,-0.0862,-2.3041,7.3023,-3.4027
34168,-0.0814,0.3400,-0.0958,-3.0975,12.3301,-3.3417
34187,-0.0814,-0.1437,21.2749,-3.1891,13.6469,-3.7994
34206,-0.0479,0.4118,-0.0192,-2.9297,10.7739,-3.4943
34225,-0.0287,0.4549,21.1552,-2.4567,11.8513,-3.5095
34244,-0.1245,-0.0096,-0.0958,-2.9144,7.6614,-3.3875
34263,2.7581,0.4405,-0.0910,-2.6398,11.0133,-3.6469
34282,-0.0287,0.4262,-0.1245,-2.6550,9.4571,-3.3722
34301,-0.0814,-0.1197,-0.1437,-2.8687,12.8090,-3.7689
34320,-0.0622,0.4166,-0.0910,-3.1433,13.6469,-3.7384
34339,-0.0814,0.3926,-0.0335,-3.0365,12.5696,-3.6011
34358,-0.0910,0.3112,-0.1245,-2.5024,12.4498,-3.4332
34377,2.8156,0.3400,-0.0383,-2.5635,11.2527,-3.5858
34396,-0.1149,-0.1197,-0.0048,-2.9602,12.4498,-3.6621
34415,-0.0527,0.4357,-0.0575,-2.8687,11.8513,-3.3112
34434,-0.0718,0.3639,21.2174,-2.3346,12.2104,-3.3264
34453,-0.0718,0.3879,-0.1484,-2.9449,-14.9638,-3.7537
34472,-0.0192,0.3735,-0.0910,-3.0212,-15.2032,-3.4485
34491,2.7869,0.4070,21.2126,-3.0518,13.5272,-3.6469
34511,-0.0575,0.4262,21.1887,-2.4719,13.0484,-3.8757
34530,2.5953,0.4022,21.2078,-2.6245,11.6119,-3.6163
34550,2.7964,0.4453,21.1935,-3.3722,13.0484,-3.7689
34570,-0.0910,0.3831,-0.0144,-3.1738,13.5272,-3.5706
34589,-0.0766,0.3352,-0.1389,-2.4109,8.6191,-3.3569
34608,-0.1389,0.3543,-0.0622,-2.3346,9.4571,-3.4485
34627,2.7629,0.3735,21.2797,-2.9907,10.2951,-3.5248
34647,-0.0814,0.3304,21.1504,-2.8992,11.3725,-3.7079
34666,2.7677,0.4405,21.1695,-2.9602,11.9710,-3.8300
34686,-0.0958,-0.1484,-0.1053,-3.3569,-13.2878,-3.8147
34705,2.7725,0.4070,21.2126,-2.8992,11.0133,-3.6316
34725,2.7629,-0.1532,21.1600,-3.3264,10.5345,-3.7842
34744,2.5570,-0.1437,21.2366,-2.5787,11.4922,-3.4637
34763,2.7773,0.3448,-0.1053,-2.9144,13.5272,-3.6774
34782,2.6001,-0.0527,-0.0192,-2.6093,9.3374,-3.5858
34801,-0.1006,0.3831,21.2701,-2.4414,12.0907,-3.8300
34820,-0.0670,0.4549,21.2509,-2.7771,12.3301,-3.8605
34839,2.7629,-0.1437,-0.1197,-2.9297,-15.3229,-3.6163
34858,2.7629,0.4262,-0.0814,-3.0212,12.0907,-3.7231
34877,-0.0239,-0.1389,21.1743,-2.7313,9.6965,-3.6469
34896,-0.0383,0.4166,21.2845,-2.5177,11.0133,-3.6011
34915,-0.0144,-0.1389,21.1647,-2.9297,9.4571,-3.8147
34934,2.5762,0.3591,-0.0144,-2.9907,14.6046,-3.3569
34953,2.7916,-0.0144,21.2845,-3.0365,8.8585,-3.6469
34972,-0.0287,0.3160,-0.0479,-2.8229,8.6191,-3.4027
34991,-0.0862,0.3783,21.2366,-2.5635,9.5768,-3.4790
35010,-0.0527,-0.0910,-0.0718,-2.8076,10.1754,-3.4332
35029,-0.1101,0.3783,-0.0287,-3.3875,13.5272,-3.5400
35048,2.5091,-0.1341,21.2174,-3.3264,14.9638,-0.1984
35067,2.7773,0.3783,-0.0670,-3.0212,11.1330,-3.6774
35086,2.8395,0.4118,21.2749,-2.5787,8.4994,-3.3569
35106,-0.0766,0.4118,21.1695,-2.6093,8.2600,-3.8147
35125,2.8060,0.3543,21.2701,-2.5482,8.1403,-3.5095
35145,2.5714,0.3543,21.1504,-2.5482,10.1754,-3.3569
35165,-0.0814,0.3879,-0.1293,-2.7466,9.8162,-3.5095
35184,-0.0958,-0.0287,-0.1484,-2.7161,10.4148,-3.6621
35203,2.7581,0.3735,21.2509,-2.9602,14.8441,-3.8452
