timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
1045,3.6775,-1.1396,21.5478,4.9591,-2.6336,-6.3629
1065,-0.0144,0.0862,23.4009,-1.5106,-8.4994,-2.8687
1084,2.5043,-0.1149,18.7705,-0.6866,-11.0133,0.0458
1103,-0.0335,-0.1197,21.5095,-2.8534,-10.6542,-6.6071
1122,-0.0335,-0.1532,-0.1149,-0.2289,-2.9928,-1.5106
1141,-0.0239,0.4166,-0.0287,-7.5073,100.0776,-0.4425
1160,0.1341,-0.5986,21.7968,-0.0458,-9.8162,-6.7596
1179,3.7876,-0.0239,22.4624,-0.1678,-12.5696,0.3967
1198,-0.0958,-0.1149,19.6133,-0.2289,-13.5272,-7.0648
1217,2.1644,0.4310,-0.1006,-6.6986,-4.0701,-1.6785
1236,3.4093,-0.1437,22.4720,-1.6022,-52.5527,0.9460
1255,2.8874,-0.0192,19.1249,-0.7019,-21.3084,-0.0610
1274,-0.1197,-0.0239,22.1416,-0.5188,101.1550,-0.4730
1312,1.8818,-0.0479,-0.1484,-14.3738,-8.8585,-6.6376
1332,3.5099,1.8435,-0.0910,1.2360,-11.0133,-1.7090
1351,2.5953,-0.5842,19.9916,-1.9226,127.1321,-1.1139
1370,-0.0527,-0.0096,-0.0096,-2.9449,-27.7727,-1.7700
1389,-0.1197,-1.1827,23.6212,8.7128,-0.7183,-1.5106
1408,2.8922,0.7374,-0.0862,-14.1144,9.5768,0.0000
1428,5.2768,2.4756,-0.0527,-10.4370,-7.0629,-11.6119
1447,1.9824,-2.3511,-0.0335,-0.2289,133.7162,7.9956
1466,-0.1532,-0.0144,-0.1389,1.8311,-8.1403,-7.2174
1485,-0.0622,0.1245,-0.1053,-0.8087,-12.4498,-11.2305
1504,-0.1006,1.2689,22.6970,-10.7422,6.3446,-1.2207
1523,-0.1532,0.7135,18.7466,-0.7782,130.2446,-3.8452
1542,-0.0431,-1.4461,-0.1389,-2.8992,76.0159,-1.3428
1561,-0.1006,-0.1532,23.4153,5.0812,-10.4148,0.2289
1580,-0.0144,-0.0527,-0.0335,-10.5896,-87.5081,-9.9030
1599,3.1268,0.9960,21.5909,-0.1221,65.6011,-0.0305
1619,-0.0910,-1.8292,23.6403,-1.7853,97.8031,-1.6174
1638,2.7773,-1.4605,-0.0575,9.4910,-58.8974,-10.1471
1657,-0.0622,-0.1293,-0.1006,-1.6632,-12.4498,-10.7117
1676,-0.0862,-0.0479,-0.0144,-3.8605,-5.7461,4.9438
1695,-0.0239,0.1437,-0.0192,-3.2806,-56.8623,-0.3052
1714,2.4804,-0.0958,-0.0910,-1.5259,9.5768,-0.7477
1733,-0.1149,-0.1245,-0.1197,-1.3885,-11.0133,-0.9766
1752,3.0694,1.3647,-0.0670,-7.6447,-0.8380,-3.7079
1771,0.1245,-1.7669,-0.1149,-0.8698,31.8429,-1.0834
1790,4.3048,-0.0718,-0.0048,-0.0305,-7.0629,-3.1433
1809,0.0000,-0.0431,19.6756,-11.0474,-10.4148,-7.0801
1828,-0.0383,-0.4693,-0.1197,-7.1259,97.9229,-0.2136
1847,-0.1341,-0.0766,21.2366,8.0261,3.8307,-2.2888
1866,-0.0144,-0.2203,-0.0958,3.9368,-5.9855,-9.9487
1885,3.4620,-0.1053,-0.0431,0.7019,-26.9348,-0.0458
1904,2.1979,-0.1149,19.1249,-1.6632,-13.1681,-1.9379
1923,0.7566,-0.0766,-0.1197,-7.5378,-0.4788,1.4343
1942,-0.1149,-0.0431,24.0186,9.2010,-15.2032,-0.8087
1961,-0.0335,-0.0814,20.2741,-0.7782,-12.5696,-10.3302
1980,-0.0479,-0.1484,-0.1532,-1.3580,-3.1125,-14.3433
1999,-0.0144,-0.0910,-0.0479,-1.2665,124.9773,-0.8850
2018,-0.1772,-0.1532,18.7514,-3.2501,71.9458,-1.4648
2056,2.1548,1.3503,-0.0287,0.3967,-59.7353,-7.7515
2075,-0.0431,-0.0335,-0.1532,-0.4730,36.7510,-1.6937
2094,-0.0766,-0.2921,-0.0335,-1.1444,-2.0351,-1.7700
2113,-0.1389,-0.0958,22.7689,-0.6104,-6.3446,1.8158
2132,1.2258,-0.0239,20.0443,-0.6866,-149.7573,-10.8032
2151,-0.0527,2.1596,22.1176,-7.2021,-13.0484,-0.3052
2170,-0.0383,-1.2210,20.8918,4.0283,92.4162,-0.2441
2189,-0.1532,-0.0622,20.6715,0.3967,-60.3339,-5.9357
2208,-0.0335,1.5562,23.0035,-0.1221,-11.8513,-6.5002
2227,3.7062,0.1341,19.3356,-7.1869,-11.6119,0.6866
2247,-0.1101,-0.1006,19.0387,-0.1373,-11.0133,-0.7782
2266,-0.0239,-2.3703,-0.1053,4.7150,-14.2455,0.9155
2285,3.7637,0.3831,20.9636,-2.6245,-0.2394,-3.3569
2304,5.6024,3.7637,-0.0622,-18.1580,-6.3446,-14.0228
2323,0.0000,-0.1437,23.6547,-10.1624,96.3666,-0.8698
2343,0.7518,-0.8284,-0.0862,1.0071,-12.9287,5.8441
2362,-0.0287,-1.1349,20.5949,-1.9226,2.2745,-0.4120
2381,2.2410,-0.0431,23.3291,-1.8311,-2.6336,-0.7477
2400,-0.0335,-0.0335,19.0962,-0.7629,-0.7183,1.8311
2419,-0.1389,-1.2115,20.6141,-1.7853,-14.0061,-0.9613
2438,3.7493,-2.0877,23.9660,-1.5869,-0.1197,0.6561
2457,2.1596,-0.0862,20.2789,-15.0452,-47.4052,-0.8087
2476,3.7924,-0.0048,-0.0958,-18.6310,14.0061,-1.6785
2514,-0.0910,-0.0718,23.0466,-1.6174,-26.5756,1.5717
2533,-0.0239,1.5371,21.4856,-1.1902,-11.4922,-11.4594
2552,2.1883,-0.1389,-0.1245,-1.4954,-11.3725,-1.1444
2571,-0.1197,-0.0335,19.6995,1.6479,-14.7243,-3.6774
2590,-0.1293,-0.0862,21.8638,-0.2594,37.2298,-3.5248
2609,-0.1484,-0.0383,-0.0383,8.1940,-5.5067,-3.4485
2628,3.7350,-0.0239,19.4361,-14.2670,14.4849,-10.4218
2647,-0.1341,-0.1245,21.7777,-0.6866,-11.0133,-1.1292
2666,-0.0479,-2.3942,23.3483,8.0872,-12.8090,5.5695
2685,1.8818,-0.1245,20.2933,1.2970,-11.9710,-6.8054
2704,4.0654,1.9249,-0.0048,-0.5646,-19.0339,-11.0779
2723,1.9776,-0.0527,22.7162,-6.3477,158.9750,11.9629
2743,-0.0431,-0.0287,-0.0718,-1.8005,-0.8380,-0.5188
2762,0.9816,-0.0479,-0.0239,-3.0975,44.6519,-6.6223
2781,2.2218,-0.5555,-0.0479,-0.7629,-78.8889,-0.7324
2800,-0.1197,-0.0287,20.0634,-1.3275,-54.2287,-13.8550
2819,2.7677,0.9577,-0.0670,-7.4615,42.2577,-6.4545
2838,1.5850,-1.1540,22.4002,-0.5341,-11.6119,-1.8005
2857,3.1077,-0.1532,19.0722,8.3466,-84.5153,-14.2517
2895,2.4565,-0.8619,-0.0287,-2.7008,137.6666,5.8441
2914,-0.1006,-0.2777,-0.0670,-2.9907,-57.9397,-9.9945
2933,-0.0910,-0.0910,22.7018,-1.5106,-83.1985,-1.5106
2952,-0.0192,1.0199,-0.1245,-11.2915,130.1249,1.2817
2971,1.0199,-0.0144,-0.0048,-1.3275,-17.1185,-1.2207
2990,0.0622,-0.0192,22.4576,-0.7324,7.5417,-0.7172
3009,-0.0862,-0.0814,-0.0144,-3.6316,14.7243,-2.5787
3028,2.5809,1.2929,-0.1484,-1.3123,-1.6759,-7.2784
3047,1.9154,-0.0814,-0.1484,4.9438,40.3423,-0.9918
3066,-0.0718,-1.3982,20.6476,7.9651,-11.8513,0.3204
3085,-0.0575,-0.2346,20.2789,3.9825,-3.2322,-11.3220
3104,-0.1197,-0.0048,23.1040,8.7280,-0.5986,0.1526
3123,3.2082,0.9720,20.2741,-0.2136,-13.5272,-0.3204
3142,1.0391,-0.1341,-0.0383,-0.3510,-9.5768,-1.4801
3161,-0.1389,-3.8738,22.5151,-5.9204,70.2698,-1.2207
3180,2.1883,-0.1053,-0.1245,-1.2665,-9.4571,-1.4191
3199,-0.0048,-0.1006,-0.0335,-0.8698,101.1550,0.6714
3218,-0.1484,-4.2138,-0.0048,-0.5493,-14.2455,-0.2899
3237,1.8531,-0.0814,19.9964,-1.4801,-3.4716,-6.8054
3256,1.5945,-0.0862,20.8439,-0.1526,-13.6469,-0.3357
3275,1.8818,-0.0335,23.3339,-0.6409,-12.6893,-1.2054
3294,1.9441,-0.1341,19.9772,-1.3123,-13.5272,-0.9918
3313,3.4141,1.9297,-0.0766,-1.8768,73.1429,-3.8757
3332,1.6472,-2.6480,24.0330,0.0000,-24.8997,-0.8392
3352,-0.0192,-0.5076,-0.0239,-1.2512,-122.3437,-9.7961
3371,-0.1437,1.9680,21.2892,0.0458,-14.0061,-1.0529
3390,-0.0910,-1.4030,23.0514,9.7198,-11.4922,5.5084
3409,-0.0335,-0.6033,-0.0766,1.0834,-14.4849,-6.4545
3428,-0.1532,-0.0239,20.3028,-1.4343,-1.4365,-18.4021
3447,1.2929,-0.0144,-0.0144,1.9073,132.5191,-1.2207
